ilosc watkow,czas,ilosc hashy
1,55.445945,268435456
2,29.958641,268435456
4,15.633471,268435456
6,10.669838,268435456
8,7.910124,268435456
12,5.476968,268435456
16,4.250821,268435456
20,3.535612,268435456
24,2.945308,268435456
28,2.60338,268435456
32,2.89234,268435456
36,2.955765,268435456
40,2.770366,268435456
48,2.564437,268435456
