ilosc watkow,czas,ilosc hashy
1,54.180821,268435456
2,30.182223,268435456
4,15.641244,268435456
6,10.520731,268435456
8,7.934229,268435456
12,5.666482,268435456
16,4.383759,268435456
20,3.517690,268435456
24,2.972987,268435456
28,2.631781,268435456
32,2.908438,268435456
36,2.955868,268435456
40,2.820423,268435456
48,2.613248,268435456
