threads,time,hashes_checked
2x1,2.113853,16777216
2x1,2.139106,16777216
2x1,2.118813,16777216
2x1,2.095727,16777216
2x1,2.119476,16777216
2x1,2.123975,16777216
2x1,2.330074,16777216
2x1,2.238306,16777216
2x1,2.232983,16777216
2x1,2.229974,16777216
2x2,2.332221,16777216
2x2,2.236834,16777216
2x2,2.324252,16777216
2x2,2.321023,16777216
2x2,2.267598,16777216
2x2,2.264511,16777216
2x2,2.390799,16777216
2x2,2.527671,16777216
2x2,2.233619,16777216
2x2,2.901279,16777216
2x4,2.910700,16777216
2x4,2.893526,16777216
2x4,2.312588,16777216
2x4,2.267939,16777216
2x4,2.405713,16777216
2x4,2.305482,16777216
2x4,2.383952,16777216
2x4,2.260821,16777216
2x4,1.993283,16777216
2x4,1.972335,16777216
2x6,2.032595,16777216
2x6,1.911655,16777216
2x6,1.964579,16777216
2x6,1.917456,16777216
2x6,1.972584,16777216
2x6,2.024495,16777216
2x6,2.032361,16777216
2x6,2.033954,16777216
2x6,1.888028,16777216
2x6,2.022712,16777216
2x8,2.020552,16777216
2x8,2.030862,16777216
2x8,2.033092,16777216
2x8,2.030200,16777216
2x8,2.032019,16777216
2x8,2.024476,16777216
2x8,2.008596,16777216
2x8,2.028803,16777216
2x8,2.024745,16777216
2x8,2.027492,16777216
4x1,1.138221,16777216
4x1,1.139605,16777216
4x1,1.040356,16777216
4x1,1.119117,16777216
4x1,1.046273,16777216
4x1,1.065965,16777216
4x1,1.128540,16777216
4x1,1.157268,16777216
4x1,1.127607,16777216
4x1,1.107630,16777216
4x2,0.636629,16777216
4x2,0.627418,16777216
4x2,0.583572,16777216
4x2,0.627388,16777216
4x2,0.624791,16777216
4x2,0.646224,16777216
4x2,0.575330,16777216
4x2,0.641249,16777216
4x2,0.601854,16777216
4x2,0.583774,16777216
4x4,0.483646,16777216
4x4,0.519678,16777216
4x4,0.497827,16777216
4x4,0.474746,16777216
4x4,0.483368,16777216
4x4,0.493472,16777216
4x4,0.497444,16777216
4x4,0.514615,16777216
4x4,0.485958,16777216
4x4,0.533215,16777216
4x6,0.526726,16777216
4x6,0.440589,16777216
4x6,0.506153,16777216
4x6,0.460236,16777216
4x6,0.460001,16777216
4x6,0.436762,16777216
4x6,0.484371,16777216
4x6,0.466486,16777216
4x6,0.512839,16777216
4x6,0.532561,16777216
4x8,0.454595,16777216
4x8,0.396468,16777216
4x8,0.469679,16777216
4x8,0.487285,16777216
4x8,0.447732,16777216
4x8,0.459475,16777216
4x8,0.440814,16777216
4x8,0.457394,16777216
4x8,0.479313,16777216
4x8,0.479552,16777216
6x1,0.788267,16777216
6x1,0.811192,16777216
6x1,0.974891,16777216
6x1,0.870574,16777216
6x1,0.833274,16777216
6x1,0.979124,16777216
6x1,1.204497,16777216
6x1,0.826721,16777216
6x1,0.969618,16777216
6x1,0.985946,16777216
6x2,0.975665,16777216
6x2,0.851651,16777216
6x2,1.009363,16777216
6x2,1.075429,16777216
6x2,0.754110,16777216
6x2,0.950942,16777216
6x2,1.202353,16777216
6x2,1.150222,16777216
6x2,1.102548,16777216
6x2,0.917710,16777216
6x4,0.706722,16777216
6x4,0.475318,16777216
6x4,0.496897,16777216
6x4,0.595780,16777216
6x4,0.457301,16777216
6x4,0.538210,16777216
6x4,0.588271,16777216
6x4,0.589354,16777216
6x4,0.580105,16777216
6x4,0.618395,16777216
6x6,0.579691,16777216
6x6,0.599073,16777216
6x6,0.546768,16777216
6x6,0.642416,16777216
6x6,0.445420,16777216
6x6,0.485350,16777216
6x6,0.461824,16777216
6x6,0.562600,16777216
6x6,0.578977,16777216
6x6,0.605407,16777216
6x8,0.413436,16777216
6x8,0.401817,16777216
6x8,0.483032,16777216
6x8,0.426612,16777216
6x8,0.387169,16777216
6x8,0.466064,16777216
6x8,0.450640,16777216
6x8,0.559756,16777216
6x8,0.368088,16777216
6x8,0.355448,16777216
8x1,1.617451,16777216
8x1,1.244411,16777216
8x1,1.343515,16777216
8x1,1.327885,16777216
8x1,1.538334,16777216
8x1,1.482405,16777216
8x1,1.685591,16777216
8x1,1.846530,16777216
8x1,1.495694,16777216
8x1,1.930999,16777216
8x2,0.696467,16777216
8x2,1.040380,16777216
8x2,0.938206,16777216
8x2,0.975078,16777216
8x2,1.113116,16777216
8x2,1.114924,16777216
8x2,0.653262,16777216
8x2,0.829515,16777216
8x2,0.669947,16777216
8x2,0.935446,16777216
8x4,0.669307,16777216
8x4,0.492430,16777216
8x4,0.729668,16777216
8x4,0.718911,16777216
8x4,0.710143,16777216
8x4,0.816641,16777216
8x4,0.526111,16777216
8x4,0.959542,16777216
8x4,0.674963,16777216
8x4,0.642865,16777216
8x6,0.436615,16777216
8x6,0.552979,16777216
8x6,0.395903,16777216
8x6,0.478728,16777216
8x6,0.504526,16777216
8x6,0.419960,16777216
8x6,0.509384,16777216
8x6,0.462500,16777216
8x6,0.532079,16777216
8x6,0.568572,16777216
8x8,0.536911,16777216
8x8,0.689759,16777216
8x8,0.401598,16777216
8x8,0.495085,16777216
8x8,0.508894,16777216
8x8,0.399054,16711681
8x8,0.392242,16777216
8x8,0.377267,16777216
8x8,0.374947,16777216
8x8,0.506099,16711681
