threads,time,hashes_checked
1x1,3.338097,16777216
1x1,3.340057,16777216
1x1,3.343195,16777216
1x1,3.371506,16777216
1x1,3.341366,16777216
1x1,3.341907,16777216
1x1,3.341624,16777216
1x1,3.344410,16777216
1x1,3.337125,16777216
1x1,3.336962,16777216
1x1,3.335867,16777216
2x1,1.695693,16777216
2x1,1.695667,16777216
2x1,1.708534,16777216
2x1,1.847436,16777216
2x1,2.088489,16777216
2x1,2.084479,16777216
2x1,2.086128,16777216
2x1,2.086810,16777216
2x1,2.085255,16777216
2x1,2.088291,16777216
2x1,2.087203,16777216
4x1,1.014620,16777216
4x1,0.936428,16777216
4x1,0.943630,16777216
4x1,0.940080,16777216
4x1,0.898031,16777216
4x1,0.937945,16777216
4x1,1.042519,16777216
4x1,1.047490,16777216
4x1,1.041729,16777216
4x1,1.042009,16777216
4x1,1.042412,16777216
8x1,0.526397,16777216
8x1,0.520805,16777216
8x1,0.521404,16777216
8x1,0.521528,16777216
8x1,0.524600,16777216
8x1,0.525399,16777216
8x1,0.526622,16777216
8x1,0.521293,16777216
8x1,0.531791,16777216
8x1,0.529705,16777216
8x1,0.523132,16777216
16x1,0.337482,16777216
16x1,0.322825,16777216
16x1,0.331679,16777216
16x1,0.331124,16777216
16x1,0.305427,16777216
16x1,0.311586,16777216
16x1,0.335385,16777216
16x1,0.301867,16777216
16x1,0.313572,16777216
16x1,0.335206,16777216
16x1,0.325002,16777216
24x1,0.321528,16777216
24x1,0.328279,16777216
24x1,0.307237,16777216
24x1,0.322251,16777216
24x1,0.254894,16777216
24x1,0.321592,16777216
24x1,0.313529,16777216
24x1,0.318096,16777216
24x1,0.313045,16777216
24x1,0.228059,16777216
24x1,0.256471,16777216
32x1,0.276230,16777216
32x1,0.264928,16777216
32x1,0.271345,16777216
32x1,0.261379,16777216
32x1,0.236986,16777216
32x1,0.265637,16777216
32x1,0.281910,16777216
32x1,0.264011,16777216
32x1,0.244453,16777216
32x1,0.283891,16777216
32x1,0.281887,16777216
40x1,0.280726,16777216
40x1,0.289763,16777216
40x1,0.265289,16777216
40x1,0.279927,16777216
40x1,0.262527,16777216
40x1,0.256135,16777216
40x1,0.208704,16777216
40x1,0.248711,16777216
40x1,0.211385,16777216
40x1,0.263984,16777216
40x1,0.287126,16777216
48x1,0.254610,16777216
48x1,0.242468,16777216
48x1,0.194607,16777216
48x1,0.232121,16777216
48x1,0.256040,16777216
48x1,0.269182,16777216
48x1,0.210622,16777216
48x1,0.230553,16777216
48x1,0.193893,16777216
48x1,0.206791,16777216
48x1,0.198706,16777216
56x1,0.236948,16777216
56x1,0.201557,16777216
56x1,0.260833,16777216
56x1,0.232111,16777216
56x1,0.253229,16777216
56x1,0.246170,16777216
56x1,0.237092,16777216
56x1,0.254036,16777216
56x1,0.240278,16777216
56x1,0.219193,16777216
56x1,0.244076,16777216
64x1,0.234761,16777216
64x1,0.267969,16777216
64x1,0.204725,16777216
64x1,0.200300,16777216
64x1,0.212285,16777216
64x1,0.211826,16777216
64x1,0.212467,16777216
64x1,0.229682,16777216
64x1,0.263521,16777216
64x1,0.244557,16777216
64x1,0.235128,16777216
